answer,relevance,id,question
Resistance band,RELEVANT,171,What exercise does a banded pull-up type of strength equipment use?
a broom,RELEVANT,115,What equipment is required for Jumping Squats?
a squat,RELEVANT,53,What body part does Dumbbell Lateral Raise target?
a squat,RELEVANT,198,What muscles are used in Cable Tricep Overhead Extension?
Kettlebell,RELEVANT,19,What type of exercise is Goblet Squats?
a squat,RELEVANT,70,What muscles are used in Tuck Jumps?
exercise,RELEVANT,161,What type of exercise is Smith Machine Shoulder Press?
Kettlebell Swing,RELEVANT,5,What equipment is required for Kettlebell Swing?
machine,NON_RELEVANT,135,What type of exercise is Seated Calf Raise?
a squat,RELEVANT,122,How do you perform Resistance Band Squat correctly?
Dumbbells,RELEVANT,37,What type of exercise is Renegade Rows?
Dumbbells,RELEVANT,151,What type of equipment does Incline Chest Press use?
ages between 0 and 6,RELEVANT,148,What are the ages of the spider push-ups?
a weight lifting exercise,RELEVANT,189,How does Pike Push-Up Type help your body?
a squat,RELEVANT,174,What body part does Weighted Russian Twists target?
Bodyweight,RELEVANT,153,What equipment is required for Hanging Knee Raises?
machine,RELEVANT,7,What type of equipment does the Lat Pulldown have?
perform a single-arm dumbbell exercise,RELEVANT,126,What does the Dumbbell Flyes do?
calorie,RELEVANT,69,"What is the calorie content of the word ""landmine press""?"
a snatch,RELEVANT,190,What body part does One-Arm Dumbbell Snatch target?
Cable machine,RELEVANT,80,What type of equipment does the cable chest press use?
Dumbbells,RELEVANT,68,What type of equipment does the Arnold press type?
Bike,RELEVANT,30,What type of exercise is Calf Raises?
equipment,RELEVANT,159,What equipment is required for Smith Machine Row?
Bodyweight,RELEVANT,24,What type of exercise is Step-Ups?
machine,RELEVANT,203,What equipment is the machine Lat pulldown type?
exercise,RELEVANT,159,What type of exercise is Smith Machine Row?
Dumbbells,RELEVANT,111,What type of exercise is Incline Dumbbell Curl?
a squat,RELEVANT,38,What body part does Leg Press target?
B).,RELEVANT,91,What equipment is required for Walking Lunges?
bodyweight,RELEVANT,1,What type of equipment does the squats use?
bodyweight,RELEVANT,119,What type of equipment does the one-arm push-up type?
machine chest press,RELEVANT,156,What type of equipment does machine chest press use?
a barbell,RELEVANT,186,What muscles are used in Deadlift High Pull?
body weight,RELEVANT,16,What body part does Russian Twists target?
